longitude,latitude,ndvi_2006,ndvi_2007,ndvi_2008,ndvi_2009,ndvi_2010,ndvi_2011,ndvi_2013,ndvi_2014,ndvi_2015,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndvi_2026,ndvi_trend,ndvi_std,ndvi_min,n_loss_years,elevation,slope,dist_settlement,class,predict_mask
73.011,8.017,,,,,,,,,0.9666975,0.9725426,,,,,,,,,,,,0.0029225500000000237,0.9666975,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.062,,,,,,,0.32688192,,,,,,,,,,,,0.4028169,,,0.03796748999999999,0.32688192,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.107,,,,,,,,,,,,,,,,,0.76237625,,,,,0.0,0.76237625,0,535.0,0.34776251,3605.551275463989,,1
73.011,8.152,,,,,,,0.2647078,,,,,,,,,,,,,,,0.0,0.2647078,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.197,,,,,,,,,,,,,,,0.7105943,,,,,,,0.0,0.7105943,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.242,,,,,,,0.54280895,,0.45224786,,,0.8340486,,,,,,,,,,0.16288839049370185,0.45224786,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.377,,,,,,,,,,,,,,,,,,,,0.67772514,,0.0,0.67772514,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.422,,,,,,,,0.40703052,0.80044484,,,,,,,,,,,,,0.19670716000000002,0.40703052,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.467,,,,,,,,0.4866404,,,0.88688326,,0.8835856,,,,,,,,,0.18790385051506622,0.4866404,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.512,,,,,,,,,,,0.3684448,,,,,,0.7202381,,,,,0.17589665,0.3684448,0,535.0,0.34776251,3605.551275463989,,1
73.011,8.556,,,,,,,,0.16224189,,,0.7165493,,,,,,0.6739356,,,,,0.2518604298376742,0.16224189,1,535.0,0.34776251,3605.551275463989,,1
73.011,8.601,,,,,,,,,,,,,,,,0.6338397,,,,,,0.0,0.6338397,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.646,,,,,,,,,,,,,,,0.19168544,,,,,,,0.0,0.19168544,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.691,,,,,,,,-0.07284768,,,0.23044693,,,,,,,,,,,0.151647305,-0.07284768,2,535.0,0.34776251,3605.551275463989,,0
73.011,8.736,,,,,,,,0.50878453,0.54873854,,,,0.42647573,,0.16210057,,,,,,,0.15060132996043818,0.16210057,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.781,,,,,,,0.53848577,,,,-0.12429378,,0.27983454,,,,-0.123595506,,,,,0.28180276738978577,-0.12429378,3,535.0,0.34776251,3605.551275463989,,0
73.011,8.826,,,,,,,0.75493807,0.6763754,,,0.757085,,0.45467356,0.41187215,,,,,,,-0.045213366612903226,0.14860874403009167,0.41187215,0,535.0,0.34776251,3605.551275463989,,0
73.011,8.871,,,,,,,0.31437466,,,,0.5258791,,,,,,,,,,,0.10575222000000004,0.31437466,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.916,,,,,,,0.38067415,,,,0.8353442,,,,-0.009307385,,,,,,,0.34516449412658806,-0.009307385,1,535.0,0.34776251,3605.551275463989,,0
73.011,8.961,,,,,,,,,0.5319813,,,,,0.39575887,0.5540955,0.1738367,,,,,,0.15129231550640027,0.1738367,1,535.0,0.34776251,3605.551275463989,,0
73.011,9.006,,,,,,,,,,,,,,,,,,,0.5888121,,,0.0,0.5888121,0,535.0,0.34776251,3605.551275463989,,0
73.011,9.051,,,,,,,,0.4599303,,,,,,0.05136125,,,,,,,,0.204284525,0.05136125,1,535.0,0.34776251,3605.551275463989,,0
73.011,9.095,,,,,,,,0.20256205,0.82768524,,0.52380955,,0.54473203,,,,,,,,,0.22134531256851495,0.20256205,1,535.0,0.34776251,3605.551275463989,,0
73.011,9.14,,,,,,,,,,,0.6280277,,,0.23363538,0.37182534,,,,,,,0.16339502793650917,0.23363538,1,535.0,0.34776251,3605.551275463989,,0
73.011,9.185,,,,,,,,0.3028011,,,0.5865071,,,-0.19961114,,,,,,,,0.32504513201135543,-0.19961114,2,535.0,0.34776251,3605.551275463989,,0
73.011,9.275,,,,,,,,,,,,,,0.23504274,0.11408637,,,,,,,0.060478185,0.11408637,2,535.0,0.34776251,3605.551275463989,,0
